Bandit,Reward,Algorithm
1,4.83830880033828,EpsilonGreedyBandit
1,2.142113568127197,EpsilonGreedyBandit
1,0.5052487964101366,EpsilonGreedyBandit
1,3.282265934252037,EpsilonGreedyBandit
2,1.6361838715910002,EpsilonGreedyBandit
3,4.0657327019676925,EpsilonGreedyBandit
3,3.1821930541926853,EpsilonGreedyBandit
3,4.254825978069579,EpsilonGreedyBandit
1,2.049948841234059,EpsilonGreedyBandit
0,1.931218882365973,EpsilonGreedyBandit
3,4.73758823873411,EpsilonGreedyBandit
0,3.0598599146399117,EpsilonGreedyBandit
0,-0.5306529248062588,EpsilonGreedyBandit
1,1.9559270036055032,EpsilonGreedyBandit
2,3.2485415708570735,EpsilonGreedyBandit
1,3.362732866020017,EpsilonGreedyBandit
0,0.4205195636542316,EpsilonGreedyBandit
0,0.6170035015131834,EpsilonGreedyBandit
0,0.5775533008853972,EpsilonGreedyBandit
3,3.5792158271181145,EpsilonGreedyBandit
2,3.774787647120447,EpsilonGreedyBandit
2,2.5713217070919954,EpsilonGreedyBandit
1,3.019306923117873,EpsilonGreedyBandit
1,2.9507903597873275,EpsilonGreedyBandit
2,4.111551467871465,EpsilonGreedyBandit
3,4.870234099393502,EpsilonGreedyBandit
1,2.3655224386912246,EpsilonGreedyBandit
0,-0.19408607100596464,EpsilonGreedyBandit
2,3.133543107059959,EpsilonGreedyBandit
1,2.5823971319108123,EpsilonGreedyBandit
2,4.041238703007009,EpsilonGreedyBandit
0,0.09481971842141779,EpsilonGreedyBandit
1,2.1129168700981804,EpsilonGreedyBandit
3,4.479163053448806,EpsilonGreedyBandit
2,2.423158433594294,EpsilonGreedyBandit
2,1.446788044142505,EpsilonGreedyBandit
2,3.4604384514748316,EpsilonGreedyBandit
2,3.4550298638255055,EpsilonGreedyBandit
1,0.6091344559344338,EpsilonGreedyBandit
0,2.3729378232373066,EpsilonGreedyBandit
0,-0.1793777251248334,EpsilonGreedyBandit
3,1.9384951740478535,EpsilonGreedyBandit
1,2.860486631050467,EpsilonGreedyBandit
3,3.5915139924170107,EpsilonGreedyBandit
0,1.9903787803087305,EpsilonGreedyBandit
1,2.987822347820913,EpsilonGreedyBandit
3,4.815624794423686,EpsilonGreedyBandit
1,3.2566475346130077,EpsilonGreedyBandit
0,-0.03701683730072736,EpsilonGreedyBandit
1,-0.3818529175398213,EpsilonGreedyBandit
0,1.3966082691612876,EpsilonGreedyBandit
0,1.2037775741594137,EpsilonGreedyBandit
1,1.4419861793706104,EpsilonGreedyBandit
3,3.58355698755328,EpsilonGreedyBandit
2,3.0648932319325453,EpsilonGreedyBandit
0,-0.23551610712794413,EpsilonGreedyBandit
1,1.0194497282634023,EpsilonGreedyBandit
2,2.366499842524985,EpsilonGreedyBandit
2,2.3983190413425213,EpsilonGreedyBandit
1,1.6540751859797256,EpsilonGreedyBandit
3,4.6690677817931485,EpsilonGreedyBandit
1,1.970241514649514,EpsilonGreedyBandit
3,1.720145611802118,EpsilonGreedyBandit
1,2.055655550881118,EpsilonGreedyBandit
1,1.1257555610708787,EpsilonGreedyBandit
3,4.068104841690154,EpsilonGreedyBandit
3,5.092469129117148,EpsilonGreedyBandit
2,4.79426397147653,EpsilonGreedyBandit
0,-0.11330221357449632,EpsilonGreedyBandit
3,5.156182120129984,EpsilonGreedyBandit
2,2.7749435922065073,EpsilonGreedyBandit
0,2.2567504368040012,EpsilonGreedyBandit
3,2.7175777530376837,EpsilonGreedyBandit
1,3.337707573338344,EpsilonGreedyBandit
3,4.2594212430726115,EpsilonGreedyBandit
3,4.473589324742657,EpsilonGreedyBandit
2,2.8493091119005154,EpsilonGreedyBandit
2,4.204812974575875,EpsilonGreedyBandit
3,4.539266558357871,EpsilonGreedyBandit
0,1.992348210192199,EpsilonGreedyBandit
3,4.491554212948834,EpsilonGreedyBandit
2,2.799366325032509,EpsilonGreedyBandit
2,3.6788555831146215,EpsilonGreedyBandit
3,5.843304748371279,EpsilonGreedyBandit
1,2.8565483577133826,EpsilonGreedyBandit
2,3.1103682206925813,EpsilonGreedyBandit
1,0.24611004692868943,EpsilonGreedyBandit
3,5.749743924028305,EpsilonGreedyBandit
0,1.6007880767956584,EpsilonGreedyBandit
1,-0.5762111017576941,EpsilonGreedyBandit
2,3.1138855091475968,EpsilonGreedyBandit
1,2.004774164385231,EpsilonGreedyBandit
3,3.410947621432674,EpsilonGreedyBandit
0,-0.11638440866029032,EpsilonGreedyBandit
2,1.9621580016805016,EpsilonGreedyBandit
2,3.1093688630165297,EpsilonGreedyBandit
2,2.3814821904320382,EpsilonGreedyBandit
0,-0.43832183104172273,EpsilonGreedyBandit
3,5.279880044014031,EpsilonGreedyBandit
3,4.09148994432042,EpsilonGreedyBandit
2,3.7509647141655496,EpsilonGreedyBandit
